Canonical SMILES,Molecule IDs
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,"CHEMBL5282641, CHEMBL5282641, CHEMBL5282641, CHEMBL5282641, CHEMBL5282641"
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553, CHEMBL553"
COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,"CHEMBL5186680, CHEMBL5186680, CHEMBL5186680, CHEMBL5186680"
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,"CHEMBL5284924, CHEMBL5284924, CHEMBL5284924"
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,"CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154, CHEMBL3545154"
CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,"CHEMBL5188940, CHEMBL5188940"
CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,"CHEMBL5180388, CHEMBL5180388, CHEMBL5180388, CHEMBL5180388"
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,"CHEMBL53428, CHEMBL53428, CHEMBL53428, CHEMBL53428, CHEMBL53428"
COc1cc(N2CCC(N3CCCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,"CHEMBL5193123, CHEMBL5193123"
C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)ccc1OCCO,"CHEMBL4756368, CHEMBL4756368, CHEMBL4756368"
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)c1,"CHEMBL4787483, CHEMBL4787483, CHEMBL4787483, CHEMBL4787483"
C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCN(C)C,"CHEMBL4757145, CHEMBL4757145, CHEMBL4757145, CHEMBL4757145, CHEMBL4757145"
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,"CHEMBL420624, CHEMBL420624, CHEMBL420624"
