Canonical SMILES,Molecule IDs
C[C@H](NC(=O)c1ccc(N2C3CCC2CC(NC(=O)c2ccc(C(N)=O)c(NCC4CC4)c2)C3)nc1)c1ccc(N2CCN(C)CC2)cc1,"CHEMBL2204520, CHEMBL2204520"
CN(C)CC(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170477, CHEMBL2170477"
CCC(CC)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,"CHEMBL2204496, CHEMBL2204496"
COc1c(C)c(Cl)nc(Cn2cnc3c(Cl)nc(N)nc32)c1C,"CHEMBL388347, CHEMBL388347"
Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCCO3)n2CCC1CCN(C(=O)CO)CC1,"CHEMBL2170486, CHEMBL2170486"
Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCC1CCOCC1,"CHEMBL2170452, CHEMBL2170452"
CC(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170465, CHEMBL2170465"
COc1cccc(-c2cc(C)ccc2[C@H]2Cc3nc(N)nc(C)c3C(=O)N2)n1,"CHEMBL3360306, CHEMBL3360306"
C[C@H](O)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170470, CHEMBL2170470, CHEMBL2170470, CHEMBL2170470, CHEMBL2170470, CHEMBL2170470, CHEMBL2170470"
CC(C)C[C@H](N)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170475, CHEMBL2170475"
C#CCN1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170462, CHEMBL2170462"
CC(=O)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170473, CHEMBL2170473"
C[C@@H](O)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170488, CHEMBL2170488"
Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCC1CCN(C(=O)C2CC2)CC1,"CHEMBL2170467, CHEMBL2170467"
Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCC1CCN(C(=O)CO)CC1,"CHEMBL2170469, CHEMBL2170469"
C[C@@H](O)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170471, CHEMBL2170471"
CCC(CC)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)ccc1C(N)=O,"CHEMBL2204506, CHEMBL2204506"
CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NC(=O)OCC(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,"CHEMBL338481, CHEMBL338481"
Cc1cc(C(N)=O)c(NC(C)C)cc1C(=O)NC1CC2CCC(C1)N2c1ccc(C(=O)C2CC2)cn1,"CHEMBL2204498, CHEMBL2204498"
COc1ccc([C@H]2Cc3nc(N)nc(C)c3C(=O)N2)c(-c2cccc(OC)n2)c1,"CHEMBL3360307, CHEMBL3360307"
CCN(Cc1ccccc1)Cc1ccc(C(=O)NC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)cc1,"CHEMBL341346, CHEMBL341346"
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,"CHEMBL1214827, CHEMBL1214827"
COc1ccc(I)c(Cc2nc3c(N)ncnc3n2CCNCC(C)(C)C)c1,"CHEMBL376166, CHEMBL376166"
Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCC1CCN(C=O)CC1,"CHEMBL2170456, CHEMBL2170456"
C[C@H](O)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170487, CHEMBL2170487"
C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,"CHEMBL414883, CHEMBL414883, CHEMBL414883"
C[C@H](NC(=O)c1ccc(N2C3CCC2CC(NC(=O)c2ccc(C(N)=O)c(NC4CCC4)c2)C3)nc1)c1ccc(N2CCN(C)CC2)cc1,"CHEMBL2204519, CHEMBL2204519"
COc1cccc(-c2ccccc2[C@H]2Cc3nc(N)nc(C)c3C(=O)N2)n1,"CHEMBL3360304, CHEMBL3360304"
CC(=O)c1ccc(N2C3CCC2CC(NC(=O)c2ccc(C(N)=O)c(NCC4CC4)c2)C3)nc1,"CHEMBL2204525, CHEMBL2204525"
CC(C)c1cc(-c2nnc(O)n2-c2ccc3c(ccn3C)c2)c(O)cc1OP(=O)(O)O,"CHEMBL3674153, CHEMBL3674153"
Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCC1CCN(C(=O)[C@@H]2CCCN2)CC1,"CHEMBL2170478, CHEMBL2170478"
C[C@H](N)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)OCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170474, CHEMBL2170474"
Nc1ncnc2c1nc(Sc1cc3c(cc1Cl)OCO3)n2CCC1CCN(C=O)CC1,"CHEMBL2170493, CHEMBL2170493"
